Date,Volume,Open
2021-01-01,"$127,614,764",$0.00470660
2020-12-31,"$138,903,964",$0.00465639
2020-12-30,"$137,019,168",$0.00449350
2020-12-29,"$132,681,366",$0.00460379
2020-12-28,"$165,317,271",$0.00455218
2020-12-27,"$161,587,641",$0.00451605
2020-12-26,"$154,364,516",$0.00458921
2020-12-25,"$182,926,719",$0.00458708
2020-12-24,"$185,987,455",$0.00382649
2020-12-23,"$236,179,119",$0.00453353
2020-12-22,"$582,692,436",$0.00480186
2020-12-21,"$436,625,610",$0.00461600
2020-12-20,"$126,133,587",$0.00392484
2020-12-19,"$128,526,321",$0.00384398
2020-12-18,"$180,330,384",$0.00372636
2020-12-17,"$72,803,218",$0.00342361
2020-12-16,"$66,017,116",$0.00321581
2020-12-15,"$61,430,801",$0.00322484
2020-12-14,"$64,356,677",$0.00326343
2020-12-13,"$66,469,333",$0.00316772
2020-12-12,"$72,096,645",$0.00307933
2020-12-11,"$64,835,102",$0.00311611
2020-12-10,"$74,879,642",$0.00315487
2020-12-09,"$72,979,848",$0.00318418
2020-12-08,"$66,960,747",$0.00333801
2020-12-07,"$64,970,454",$0.00338747
2020-12-06,"$71,160,004",$0.00339470
2020-12-05,"$73,957,627",$0.00330882
2020-12-04,"$79,865,144",$0.00342064
2020-12-03,"$84,065,260",$0.00337996
2020-12-02,"$109,457,481",$0.00335853
2020-12-01,"$99,796,545",$0.00356070
2020-11-30,"$84,050,076",$0.00344953
2020-11-29,"$97,440,479",$0.00341420
2020-11-28,"$113,629,478",$0.00328144
2020-11-27,"$175,112,452",$0.00324873
2020-11-26,"$188,627,821",$0.00372584
2020-11-25,"$274,092,978",$0.00415381
2020-11-24,"$132,541,741",$0.00359016
2020-11-23,"$156,220,976",$0.00334689
2020-11-22,"$185,253,838",$0.00351011
2020-11-21,"$81,530,241",$0.00298955
2020-11-20,"$74,924,639",$0.00290459
2020-11-19,"$62,937,646",$0.00291996
2020-11-18,"$66,560,629",$0.00294460
2020-11-17,"$65,269,356",$0.00289558
2020-11-16,"$43,634,951",$0.00278040
2020-11-15,"$49,169,560",$0.00275327
2020-11-14,"$49,101,076",$0.00283813
2020-11-13,"$42,492,330",$0.00278663
2020-11-12,"$55,166,843",$0.00277009
2020-11-11,"$62,506,709",$0.00276488
2020-11-10,"$54,172,574",$0.00267332
2020-11-09,"$46,106,797",$0.00268140
2020-11-08,"$69,340,167",$0.00267220
2020-11-07,"$90,412,510",$0.00275742
2020-11-06,"$70,147,423",$0.00265522
2020-11-05,"$69,983,439",$0.00252069
2020-11-04,"$68,660,360",$0.00251963
2020-11-03,"$55,521,139",$0.00252485
2020-11-02,"$53,350,848",$0.00257485
2020-11-01,"$59,252,178",$0.00256290
2020-10-31,"$59,934,493",$0.00258997
2020-10-30,"$66,466,907",$0.00258582
2020-10-29,"$74,612,874",$0.00259056
2020-10-28,"$73,738,233",$0.00267627
2020-10-27,"$102,845,432",$0.00267289
2020-10-26,"$55,959,553",$0.00265330
2020-10-25,"$46,390,497",$0.00263738
2020-10-24,"$46,544,309",$0.00264700
2020-10-23,"$44,994,738",$0.00265502
2020-10-22,"$41,535,361",$0.00262220
2020-10-21,"$59,221,115",$0.00260012
2020-10-20,"$89,163,323",$0.00260246
2020-10-19,"$74,475,417",$0.00259957
2020-10-18,"$129,773,085",$0.00259471
2020-10-17,"$114,388,487",$0.00260570
2020-10-16,"$83,563,069",$0.00259036
2020-10-15,"$92,411,043",$0.00264896
2020-10-14,"$81,979,158",$0.00263740
2020-10-13,"$98,587,198",$0.00267987
2020-10-12,"$105,760,362",$0.00266831
2020-10-11,"$98,879,402",$0.00265592
2020-10-10,"$102,421,985",$0.00266176
2020-10-09,"$108,287,118",$0.00259356
2020-10-08,"$126,750,695",$0.00258514
2020-10-07,"$116,780,008",$0.00260653
2020-10-06,"$141,202,489",$0.00261556
2020-10-05,"$103,115,065",$0.00263648
2020-10-04,"$127,186,814",$0.00258833
2020-10-03,"$137,496,941",$0.00258363
2020-10-02,"$125,254,206",$0.00263009
2020-10-01,"$113,949,671",$0.00263006
2020-09-30,"$117,696,788",$0.00267101
2020-09-29,"$108,007,302",$0.00265268
2020-09-28,"$85,237,004",$0.00270402
2020-09-27,"$116,122,724",$0.00270144
2020-09-26,"$133,860,799",$0.00269948
2020-09-25,"$122,307,586",$0.00263453
